,name,price,description1,description2
10,Halloween Pattern Bundle,$12.99,"**This listing is for a PDF patterns with instructions on making the characters, not the characters themselves**
  Patterns can be downloaded immediately after purchase
  Have your own crocheted monsters and ghouls sitting safe and sound on your dresser or hanging on your backpack! These Halloween Amigurumis measure about 2 inches tall when finished and includes a full unique video tutorial for each pattern to help you get through the tough parts!
  *Includes full-length video tutorial for each pattern!*
  Includes the following amigurumi patterns:
– Ghost
– Witch
– Werewolf
– Vampire
– Zombie
– Frankenstein
– Pumpkin
– Bat","Description
Materials:
• The Yarn (Worsted Weight)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tallWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only
– Bo : Bobble Stitch
1. Yarn over, insert hook into stitch
2. Yarn over and pull through
3. Yarn over and pull through 2 loops
4. Repeat steps 1 – 3 four times total
5. Yarn over and pull through all the loops on the hook"
11,Elf on the Shelf Amigurumi Pattern,$3.99,"Pattern can be downloaded immediately after purchase
In this more advanced amigurumi tutorial, we’ll be crocheting an Elf on the Shelf, and learning a lot about new stitches, color changes, and low sew patterns! When I was young, my mom would always put out the Elf on the Shelf just after Thanksgiving to watch over and report back to Santa if we did anything naughty. Her elf on the shelf is terrifying, so I wanted to make a much more cute version to replace it!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Main Color (Clothing)
– Skin Tone (Main body color)
– Brown (Shoes and Hair)
– White (Hat and Eyes)
– Black (Pants)
– Yellow* (Belt buckle)
•Size G6/4.00mm Hook
•6mm Safety Bead Eyes x 4
•Stuffing
•Needle
•Pipe Cleaner
•Mini Bell
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
12,Stegosaurus Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
  In this lesson we’ll be crocheting an adorably dangerous Stegosaurus! This Stegosaurus crochet pattern is designed to match my other miniature crocheted dinosaurs like the Triceratops and Brontosaurus! This little crocheted Stegosaurus dinosaur amigurumi measures about 4 inches long when finished and includes a full length unique video tutorial to help you get through the tough parts!
  *Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Color A
– Color B
•Size G6/4.00mm Hook
•Stuffing
•Needle
•Safety Bead Eyes x 2 (8mm)
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
13,Rocket Space Ship Amigurumi Crochet Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this lesson we’ll be crocheting a rocket space ship amigurumi! We’ll also learn how to make a stand for our rocket that lights up to look like it’s launching to space!
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– White
– Red
– Blue
– Grey
•Size G6/4.00mm Hook
•Stuffing
•Needle
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
14,Stars and Moons Amigurumi Crochet Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this lesson we’ll be crocheting stars in different shapes and sizes and an amigurumi moon! This tutorial series will teach you how to crochet 6 stars in alternating sizes and shapes, how to sew them together to create toys, and even how to make a smiling moon amigurumi!
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Yellow
•Size G6/4.00mm Hook
•Safety Eyes x2
•Needle
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
15,Legend of Zelda Pattern Bundle,$12.99,"**This listing is for a PDF patterns with instructions on making the characters, not the characters themselves**
  Patterns can be downloaded immediately after purchase
  Have your favorited Zelda characters crocheted as a finger puppet, sitting safe and sound on your dresser, or hanging on your backpack! These little characters from The Legend of Zelda miniature amigurumi measure about 2 inches tall when finished and includes a unique video tutorial for each pattern to help you get through the tough parts!
  *Includes full-length video tutorial for each pattern!*
  Bundle includes instructions and videos for:
– Link
– Zelda
– Sheik
– Fairy in a Bottle
– Bokoblins
– Ganon","Description
Materials:
• The Yarn (Worsted Weight)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tallWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only
– Bo : Bobble Stitch
1. Yarn over, insert hook into stitch
2. Yarn over and pull through
3. Yarn over and pull through 2 loops
4. Repeat steps 1 – 3 four times total
5. Yarn over and pull through all the loops on the hook"
16,Seasonal Kit — Under the Sea,$80,"In this seasonal kit inspired by ocean life, you'll find a variety of projects that feature creatures the sea, from whales and sharks, to octopi and squid, and even sea horses! With bonus keychains and pipe cleaners, stuffing, eyes, and thread, plus our exclusive Club Crochet Amigurumi Cotton yarn, this crochet kit has everything you need to never miss a stitch on these under water cuties.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Purple, Cyan, Pink, Black, White, and Teal
1 Mini Balls of Yarn – 25 ft
Yellow
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
4 Keychains
9 Pipe Cleaners
2 Stuffing Packets
The Projects:
This kit includes 6 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Mini Whale Amigurumi (makes 5 different whales!)
Sea Horse Amigurumi
Angler Fish Amigurumi
Octopus and Squid Amigurumi
???? - Mystery pattern releases August 2023!
???? - Mystery pattern releases September 2023!
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!",
17,Bigfoot Bobby Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
  Have you heard of bigfoot? Not yeti!
  This crocheted bigfoot amigurumi measures about 4.5 inches tall when finished and includes a full-length unique video tutorial to help you get through the tough parts!
  *Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– White (Main)
– Blue (Mask)
– Red (Detail)
– Grey (Detail)
– Yellow (Detail)
– Light Blue (Detail)
•Size G6/4.00mm Hook
•Stuffing
•Needle
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2.5” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
bo = Bobble Stitch
mbo = Mini Bobble Stitch
 "
18,T-Rex Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
  In this crochet pattern, we’ll be crocheting a terrifying Tyrannosaurus Rex! This Trex crochet pattern is designed to match my other miniature crocheted dinosaurs like the Triceratops and Brontosaurus! The pattern can be a little bit tricky since I had to make up a whole new crochet stitch for the feet, but it’s worth it since you can make one in just about an hour with minimal sewing together!
  *Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Color A
– Color B
– White
•Size G6/4.00mm Hook
•Stuffing
•Needle
•Safety Bead Eyes x 2 (8mm)
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
19,Finn the Sea Turtle Amigurumi Crochet Pattern,$4.99,"Pattern can be downloaded immediately after purchase
In this sea turtle amigurumi crochet pattern and video tutorial, we’ll guide you through the process of creating a cute and cuddly version of an adorable sea turtle!
*This listing is for a DIGITAL crochet pattern in the form of PDF and Video Tutorial, not the physical item itself!*
*100% of pattern purchases are donated to the World Wildlife Fund to help protect our natural planet*","Description
The Materials:
• The Yarn (Worsted Weight)
– Brown (Top Shell)
– Beige (Bottom Shell)
– Green (Body)
– White (Eyes)
• 8mm Safety Eyes
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
20,Castle Amigurumi Pattern,$3.99,"Pattern can be downloaded immediately after purchase
In this lesson, we’ll be crocheting a castle or sandcastle! This pattern is designed by @RavenCraft__Designs, and includes instructions on how to crochet your castle in different sizes and with a drawbridge that can actually be pulled up!
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Grey
– Color A
– Brown
•Size G6/4.00mm Hook
•Stuffing
•Needle
•1″ Square of Felt
•Sewing pin
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3.5” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
21,Mini Whale Amigurumi Pattern Bundle,$8.99,"*Patterns can be downloaded and accessed immediately after purchase*
In this crochet pattern bundle we’ll be crocheting a variety of miniature whale amigurumi! This pattern bundle is designed for complete beginners to advanced crocheters and will help you not only learn to crochet, but advance your skill with new and exciting techniques!
Every pattern in this bundle includes a full length video tutorial alongside an interactive PDF with checkmarks and time codes to keep track of your progress.
Pattern Bundle Includes:
• Beginner Whale Amigurumi – Learn how to crochet!
• Dolphin Amigurumi
• Narwhal Amigurumi
• Orca Amigurumi
• Beluga Amigurumi
• Mini Whales
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Color A
– White
• Pipe Cleaners x 1
• 6mm Safety Eyes x 10
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1”
Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
22,UFO and Alien Amigurumi Crochet Pattern,$3.99,"Pattern can be downloaded and accessed immediately after purchase
In this crochet pattern we’ll be crocheting an Alien and his UFO! What’s so cool about this pattern is that the UFO window inverts and can be a seat for your mini alien! Also the alien pattern is a no sew pattern so you can make it without sewing any parts together!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials Needed:
• The Yarn (Worsted Weight)
– Green (Alien)
– White (Eyes and UFO)
– Grey (UFO)
– Cyan (Tractor Beam)*
• Size G6/4.00mm Hook
• 8mm/6mm Safety Eyes x 1
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3 – 5” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
23,Brontosaurus Amigurumi Pattern,$2.99,"**This listing is for a PDF pattern with instructions on making the character, not the character itself**
  What do you call a dinosaur that’s a noisy sleeper? A Bronto-snorus! This little crocheted Brontosaurus dinosaur amigurumi measures about 7 inches long when finished and includes a full length unique video tutorial to help you get through the tough parts!
  Pattern can be downloaded immediately after purchase","Description
The Materials:
•The Yarn (Worsted Weight)
– Main color
– Secondary color (Spines)
•Size G6/4.00mm Hook
•Plastic Saftey Bead Eyes (8mm+)
•Stuffing
•Needle
•3 – 5 Nickles (for adding weight)
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
Unless otherwise stated
The Abbreviations:
ch
Chain Stitch
st
Stitch
sl.st
Slip Stitch
sc
Single Crochet
hdc
Half-Double Crochet
inc
Increase
dec
Decrease (Sharp)
invdec
Invisible Decrease
BLO
Back Loops Only
FLO
Front Loops Only"
24,Orc Amigurumi Pattern,$2.99,"**This listing is for a PDF pattern with instructions on making the character, not the character itself**
An orc walks into a club.. he takes 10 damage. This little crocheted Orc amigurumi measures about 2.5″ inches long when finished and includes a full length unique video tutorial to help you get through the tough parts!
Pattern can be downloaded immediately after purchase
*Includes full length video tutorial for the more difficult parts of the pattern!*","Description
Materials:
• The Yarn (Worsted Weight)
– Green (Main Body)
– White (Teeth)
– Brown (Loin Cloth / Pants)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2″ tall
Worked in the Round"
25,Bonsai Tree Amigurumi Pattern,$3.99,"Pattern can be downloaded immediately after purchase
  I kept killing my bonsai tree’s so I made this pattern for a crocheted one that you’ll never need to water! The pattern is relatively simple but leaves a lot for customization. I’ve even made a few cherry blossom crocheted bonsai tree’s as-well.
  *Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Green
– Brown
•Size G6/4.00mm Hook
•Stuffing
•Needle
•10 Pom-poms
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
26,Under the Sea Crochet Pattern Bundle,$19.99,"In this crochet pattern bundle we’ll be crocheting a variety of amigurumi inspired by ocean life! This amigurumi pattern bundle features 20 different patterns each including a video tutorial and PDF!
*Every pattern in this bundle includes a full length video tutorials to go along side an interactive PDF with checkmarks and time codes to keep track of progress.
Pattern Bundle Includes:
• Octopus Amigurumi
• Squid Amigurumi
• Jellyfish Amigurumi
• Seahorse Amigurumi
• Whale Amigurumi Bundle (5 different whales!)
• Angler Fish Amigurumi
• Starfish Amigurumi
• Marine Minigurumi (8 different miniature patterns!)
• + 1 BONUS Secret pattern!
*Includes full length video tutorials so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Color A
– White
• Pipe Cleaners x 1 (optional)
• 6mm Safety Eyes x 10
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1”
Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
